Name,Score,Status
钢的琴,8.3,
哈利·波特与密室,8.0,
铁甲钢拳,8.2,
贝利叶一家,8.3,
荒岛余生,8.4,
血钻,8.4,
卢旺达饭店,8.8,
阳光小美女,8.2,
冰川时代4,8.0,
遗愿清单,8.5,
追随,9.0,
海底总动员,8.1,
小鞋子,9.1,
登堂入室,8.5,
2001太空漫游,8.5,
黑暗面,8.0,
狗镇,8.5,
廊桥遗梦,8.5,
可可西里,8.6,
悬崖上的金鱼姬,8.2,
梦之安魂曲,8.7,
非常嫌疑犯,8.6,
叫我第一名,8.6,
暖暖内含光,8.4,
勇闯夺命岛,8.5,
荒野生存,8.7,
千钧一发,8.7,
黑客帝国2：重装上阵,8.3,
未麻的部屋,8.7,
卡萨布兰卡,8.6,
偷拐抢骗,8.5,
摩登时代,9.1,
神探,8.3,
盗钥匙的方法,8.4,
美食总动员,8.1,
嫌疑人X的献身,8.3,
我是山姆,8.8,
罗拉快跑,8.1,
开心家族,8.5,
末路狂花,8.6,
魂断蓝桥,8.8,
花与爱丽丝,8.1,
了不起的狐狸爸爸,8.3,
蒂凡尼的早餐,8.1,
魔发奇缘,8.1,
黑鹰坠落,8.4,
国际市场,8.1,
最佳出价,8.2,
马达加斯加3,8.2,
完美的世界,9.0,
成为简·奥斯汀,8.2,
地球上的星星,8.8,
玩具总动员,8.0,
八月迷情,8.3,
枪火,8.5,
追击者,8.3,
百万美元宝贝,8.4,
冰川时代2：融冰之灾,8.0,
导盲犬小Q,8.4,
角斗士,8.4,
冰川时代3,8.3,
麦兜故事,8.5,
勇士,8.9,
出租车司机,8.4,
赛德克·巴莱,8.7,
新世界,8.3,
甲方乙方,8.2,
中央车站,8.7,
一级恐惧,8.3,
牯岭街少年杀人事件,8.6,
落水狗,8.2,
黄海,8.3,
东邪西毒：终极版,8.6,
上帝也疯狂,8.6,
极速风流,8.8,
绿里奇迹,8.7,
独自等待,8.0,
赎罪,8.0,
雨中曲,8.9,
七武士,9.1,
狼的孩子雨和雪,8.5,
逆光飞翔,8.3,
巴黎淘气帮,8.6,
惊魂记,8.8,
胭脂扣,8.2,
不一样的天空,8.6,
虎口脱险,8.9,
洛城机密,8.6,
菲利普船长,8.1,
横道世之介,8.7,
如父如子,8.3,
孤胆特工,8.0,
碧海蓝天,8.7,
换子疑云,8.3,
千年女优,8.4,
万箭穿心,8.4,
土拨鼠之日,8.5,
刺猬的优雅,8.8,
蝴蝶,8.6,
人鬼情未了,8.2,
月升王国,8.2,
麦兜我和我妈妈,8.2,
哪吒闹海,8.8,
暗战,8.3,
无姓之人,8.3,
控方证人,9.5,
你丫闭嘴！,8.0,
燕尾蝶,8.7,
时时刻刻,8.5,
忠犬八公物语,9.0,
空中监狱,8.1,
金福南杀人事件的始末,8.1,
平常的心,8.3,
热血警探,8.3,
红高粱,8.1,
单身男子,8.4,
编舟记,8.5,
弱点,8.4,
赛末点,8.0,
汉尼拔,8.1,
笑傲江湖2：东方不败,8.2,
火柴人,8.1,
红猪,8.3,
面纱,8.1,
无人引航,8.2,
天才瑞普利,8.2,
我在伊朗长大,8.7,
127小时,8.1,
追风筝的人,8.2,
东京物语,9.1,
回到未来,8.4,
银河系漫游指南,8.1,
风雨哈佛路,8.2,
当哈利遇到莎莉,8.2,
后窗,8.4,
麦兜当当伴我心,8.4,
春夏秋冬又一春,8.5,
爱,8.5,
超时空接触,8.3,
凯尔经的秘密,8.4,
杀手没有假期,8.1,
坠入,8.8,
偶滴神啊,8.3,
黄金三镖客,9.1,
妈咪,8.1,
K星异客,8.5,
盲井,8.6,
我爱你,9.0,
大红灯笼高高挂,8.2,
伴我同行,8.9,
黑洞频率,8.2,
公民凯恩,8.5,
异次元骇客,8.2,
银翼杀手,8.1,
兵临城下,8.3,
步履不停,8.8,
赛德克·巴莱(上)：太阳旗,8.8,
内布拉斯加,8.6,
买凶拍人,8.3,
推手,8.3,
四月物语,8.1,
真实的谎言,8.0,
好家伙,8.3,
跳出我天地,8.7,
转山,8.0,
王牌对王牌,8.4,
城市之光,9.2,
暴力街区,8.0,
星球大战,8.3,
天生杀人狂,8.0,
南极料理人,8.1,
0.5毫米,8.1,
亚当斯一家,8.4,
天书奇谭,8.9,
天生一对,8.3,
结婚礼服,8.5,
普罗旺斯的夏天,8.1,
她比烟花寂寞,8.4,
岁月的童话,8.5,
美国X档案,8.5,
莫扎特传,8.6,
我们俩,8.6,
回家的路,8.5,
全金属外壳,8.5,
冬眠,8.0,
未知死亡,8.0,
七磅,8.1,
麦克法兰,8.1,
骄傲,8.3,
附注：我爱你,8.1,
如月疑云,8.0,
艺术家,8.4,
蓝白红三部曲之蓝,8.5,
东京教父,8.7,
赛德克·巴莱(下)：彩虹桥,8.7,
爱，简单,8.1,
精英部队2：大敌当前,8.7,
谜一样的双眼,8.3,
我杀了我妈妈,8.3,
攻壳机动队,8.9,
共同警备区,8.5,
河童之夏,8.7,
母亲,8.3,
蓝白红三部曲之红,8.7,
再见列宁,8.7,
给桃子的信,8.0,
魔术师,8.7,
金色梦乡,8.6,
现代启示录,8.3,
美女与野兽,8.2,
疯狂约会美丽都,8.7,
爱·回家,9.1,
海鸥食堂,8.3,
费城故事,8.6,
相助,8.8,
点球成金,8.1,
茜茜公主,8.5,
盗火线,8.3,
四百击,8.7,
迷魂记,8.5,
恋恋风尘,8.4,
杀戮,8.2,
无人知晓,8.9,
悲情城市,8.7,
星球大战前传1：幽灵的威胁,8.0,
沙漠之花,8.7,
初吻,8.0,
穿裘皮的维纳斯,8.0,
与狼共舞,8.9,
魔鬼代言人,8.2,
布达佩斯之恋,8.6,
芝加哥,8.4,
阿郎的故事,8.4,
和声,8.6,
只是爱着你,8.0,
理智与情感,8.2,
精武英雄,8.0,
天国王朝,8.1,
天水围的日与夜,8.5,
天伦之旅,8.7,
玫瑰人生,8.3,
偷自行车的人,8.9,
心动,8.2,
安妮·霍尔,8.5,
奇爱博士,8.7,
1944,8.0,
钢琴课,8.0,
白雪公主和七个小矮人,8.0,
机器管家,8.5,
英雄本色2,8.1,
葬礼上的死亡,8.1,
